MedicineName,MedicineFor,ReviewDate,UserName,IntakeTime,Reviews,ReviewLength,Rating,NumberOfLikes;;
12 Hour Nasal Decongestant Spray,For Nasal Congestion,26-Jan-21,xano,Not Specified,This is very effective IF you can get the cover off.,52,6,0;;
12 Hour Nasal Decongestant Spray,For Nasal Congestion,19-Aug-22,Breat...,Taken for 1 to 2 years,Actually I use the generic brand of the 12 hour nasal spray. I'm not addicted! My nose is! Probably because it's worth the nasty taste to breathe freely again. The generic is a mere (maybe was) $1.88 + tax per bottle. I actually dilute the bottle with a 50/50 purified water. Works great. Doesn't burn and cost pennies.,319,10,0;;
12 Hour Nasal Decongestant Spray,For Nasal Congestion,28-Apr-18,Abe,Taken for less than 1 month,Cap took 20 minutes to open process was frustrating and painful.'5-HTP User Reviews & Ratings (Page 2)For Anxiety11830-Jun-17Code9nTaken for less than 1 monthI have Opioid withdrawal induced anxiety / low energy. After decades of opioid usage I've suffered from anxiety - I'm assuming from excessive noradrenaline (norepinephrine) that's known to be produced in withdrawal.,373,1,0;;
"5-HTP,For Anxiety,3-May-20,Andres,Taken for less than 1 month,""Hi everyone";;
"'10 / 105-HTPFor Anxiety23129-Oct-19GannuTaken for less than 1 monthYes it works. I am floating after taking 5-HTP. I take 100 mg after breakfast and 100 mg after dinner. Also I stopped smoking. Good for my anxiety and stress. In the past talking to people was hard. I am shy guy. I think too much which is not at all required. After taking 5-HTP I feel the confidence . I am skinny guy and used to worry people around me is watching. Now I don’t care it’s my life and got my confidence now . I used to get tears automatically while talking to people because of nervousness. 5 HTP gave me my life back . Thanks"",623,10,345";;
5-HTP,For Anxiety,11-Jul-19,Shawn,Not Specified,Took SSRI (Prozac) for Anxiety/Depression for 18 years with the only side effects being needing more sleep (8.5-9 hours a night minimum) than normal people.,156,9,229;;
5-HTP,For Anxiety,9-Jun-19,Calep...,Taken for less than 1 month,I have been suffering from severe panic disorder depression and anxiety for over a decade. I have tried different antidepressants and they only made it worse. I was at the lowest point I've ever been and I finally decided to give 5HTP a shot. I took 50mg yesterday afternoon and another 50 mg before bed. I woke up this morning happy. I can't even describe how incredible that feels to me. Everything is normal now. I'm not afraid of people. I'm not afraid to go outside anymore. I no longer feel like I need to self-medicate with alcohol just to cope and I am no longer suicidal. Everything is gone. But I'm still here. I highly recommend this just to make sure you do your research or talk to a doctor.,704,10,217;;
5-HTP,For Anxiety,11-Apr-17,Suffe...,Not Specified,I have been troubled with severe generalised anxiety disorder (GAD) and social anxiety disorder for several years. I occasionally get panic attacks as well and I struggle with insomnia. I have tried escitalopram venlafaxine and sertraline in the past; and while they all helped a lot (specially the first 6 months) they did by no means take off more than 40-50% of the anxiety - max.,383,10,221;
5-HTP,For Anxiety,16-Feb-21,Nutty...,Taken for 10 years or more,Be very mindful it's all about the dosage & type..,50,10,106;;
5-HTP ,For Anxiety,3-Dec-15,Kellos,Not Specified,Almost immediately effective. Clarity and calmness of mind restored and feeling 100% better. I can not believe it has worked so well.,133,10,115;;
"5-HTP ,For Anxiety,20-Jul-20,Anonymous,Taken for less than 1 month,""5HTP was absolutely terrible";;
"'8 / 105-HTP User Reviews & Ratings (Page 6)For Anxiety9617-Feb-14worldTaken for 2 to 5 yearsChoose a sustained/time release 5-HTP product for a smoother and longer lasting effect. Combine with a good Vitamin B complex possibly in the biologically active form."",290,1,51";;
5-HTP ,For Anxiety,14-Feb-15,asirius,Taken for less than 1 month,Eliminated anxiety.,19,10,67;;
5-HTP,For Anxiety,13-Apr-16,Jobella,Not Specified,For years I silently suffered from depression and bouts of anxiety. I just though this is who I am and accept it. I tried anti depressants only a couple times on and off again when I felt desperate or overwhelmed only too make me feel even worse. I was extremely tired all the time pissed off at everything became less social eating more and just never feeling a day of happiness without really trying. Until 5-HTP. For me it has worked wonders in just 24 hours of many years of not feeling right. I wake up and feel good! I am not tired one bit. I feel human again. Like someone gave me my life back as an unexpected gift. Never did I think it would help or work as amazing as It does and I feel. No side effects.,714,10,227;;
5-HTP,For Anxiety,18-Jan-16,autiem,Not Specified,I am taking 5-htp (100MG) combined with a complex,49,10,226;;
5-HTP,For Anxiety,1-Oct-18,Jiggs,Taken for less than 1 month,Retired LEO ( Law Enforcement Officer) with PTSD & GAD.,55,8,161;;
5-HTP,For Anxiety,17-Jul-16,Kelleyp,Taken for 1 to 6 months,I started taking 300 mg/day about a month ago and it has drastically changed my quality of life (though it did not happen in one day for me as other people have noted). I've been on a series of antidepressants over the last 5-6 years but could never reconcile the side effects with the minimal improvements I got from the medications. Over the past 2-3 weeks I've stopped the daily crying jags I was experiencing before and I actually feel like I'm in a good mood a couple times a week.,486,9,211;;
5-HTP,For Anxiety,19-Mar-13,Revel...,Not Specified,After years of trying supplements that had no appreciable effect and being adamantly opposed to taking antidepressants after researching them I'd given up on feeling good and tried to accept my anxious depressed miserable irritable state as my personality.,256,9,274;;
